"","Name","Rank","City","State","Zip","Latitude","Longitude","ADMrate","Ownership","Setting","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History"
"1","Stanford University",1,"Stanford","CA","94305","37.426967","-122.168826","0.0509",2,"17","1465",60311,"0","0","0","1","1","1","1","1","1","0","1"
"2","Williams College",2,"Williamstown","MA","1267","42.711669","-73.205888","0.1932",2,"11","1452",61850,"0","1","0","1","0","1","1","1","1","0","1"
"3","Princeton University",3,"Princeton","NJ","08544-0070","40.34853","-74.663603","0.0744",2,"14","1491",57400,"0","0","1","0","1","1","1","1","1","0","1"
"4","Harvard University",4,"Cambridge","MA","2138","42.374429","-71.118177","0.0596",2,"17","1501",59950,"0","1","0","1","1","1","1","1","1","0","1"
"5","Massachusetts Institute of Technology",5,"Cambridge","MA","02139-4307","42.360095","-71.092115","0.0788",2,"17","1500",59020,"0","0","1","1","1","1","1","0","1","1","1"
"6","Yale University",6,"New Haven","CT","6520","41.311158","-72.926688","0.063",2,"17","1493",61620,"0","1","1","1","1","1","1","1","1","0","1"
"7","Pomona College",7,"Claremont","CA","91711-6319","34.098298","-117.711944","0.1219",2,"11","1454",59730,"0","1","0","1","1","1","1","1","1","0","1"
"8","Brown University",8,"Providence","RI","2912","41.827605","-71.404467","0.0874",2,"14","1435",60460,"0","1","0","1","1","1","1","1","1","1","1"
"9","Wesleyan University",9,"Middletown","CT","6459","41.55678","-72.656755","0.2391",2,"14","NULL",62849,"0","1","0","1","0","1","1","1","1","0","1"
"10","Swarthmore College",10,"Swarthmore","PA","19081","39.904081","-75.356066","0.1702",2,"11","1433",60671,"0","1","0","1","1","1","1","1","1","0","1"
"11","University of Pennsylvania",11,"Philadelphia","PA","19104-6303","39.951002","-75.193618","0.1037",2,"16","1452",61800,"0","1","1","1","1","1","1","1","1","1","1"
"12","Amherst College",12,"Amherst","MA","01002-5000","42.372459","-72.518493","0.1384",2,"11","1439",61544,"0","1","1","1","0","1","1","1","1","0","1"
"13","University of Notre Dame",13,"Notre Dame","IN","46556","41.703058","-86.238959","0.2114",2,"17","1450",60117,"0","1","1","1","1","1","1","1","1","1","1"
"14","Northwestern University",14,"Evanston","IL","60208","42.058377","-87.673653","0.1311",2,"16","1461",63028,"0","1","0","1","1","1","1","1","1","1","1"
"15","Columbia University in the City of New York",15,"New York","NY","10027","40.808286","-73.961885","0.0695",2,"17","1470",64144,"0","1","1","1","1","1","1","1","1","1","1"
"16","Dartmouth College",16,"Hanover","NH","03755-3529","43.70408","-72.289951","0.115",2,"14","1444",63279,"0","1","0","1","1","1","1","1","1","0","1"
"17","Tufts University",17,"Medford","MA","02155-5555","42.406994","-71.121689","0.1724",2,"17","1423",61000,"0","1","1","1","1","1","1","1","1","0","1"
"18","Bowdoin College",18,"Brunswick","ME","4011","43.906902","-69.965241","0.1491",2,"11","NULL",59900,"0","1","0","1","0","1","1","1","1","0","1"
